Source,RideID,Date,Dist,Time,AvS,Ascent,Commute,MaxHR,AvHR,AvPwr,Temp,MaxS,Gear,loc1,loc2,Kudos,Notes,Year,Month,yearMonth,halfDec,location,administrative_area_level_1,country,state,gLoc
Access,115,1999-08-10,80.49,10735,26.992454587796924,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Greenhill-Glenelg-Seacliff-small hills-belair rd-old belair rd,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,103,1999-08-12,91.81,11487,28.77304779315748,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Foothills to Gorge-Port-West Lakes-Seacliff-Belair-Eastwood,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,105,1999-08-14,90.11,12379,26.205347766378544,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Norton Summit-Lofty-Belair-Shepherds-Belair-Old Belair,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,85,1999-08-15,132,18600,25.548387096774192,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Belair Rd-Clarendon-Willunga-Meadows-Echunga-Belair NP-Belair Rd,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,212,1999-08-23,37.54,4844,27.89925681255161,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-Seacliff-Goodwood-Cross,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,177,1999-08-24,50.73,10856,16.82277081798084,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Andos-lynton-sheps-blackwood-sheps-bottom of andos,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,134,1999-08-26,73.02,9487,27.708653947507116,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton-Greenhill-Portrush-Glenelg-Seacliff-Goodwood-Cross,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,207,1999-08-28,39.73,5321,26.879909791392596,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-seacliff-glenelg,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,230,1999-08-29,27.38,5859,16.823348694316437,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,"Mt. Torrens Race.  Sports, came 2nd.",1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,211,1999-08-30,37.67,4726,28.694879390605163,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-Seacliff-Goodwood-Cross,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,120,1999-09-02,76.03,9936,27.547101449275363,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Greenhill-Glenelg-Seacliff-small hills-belair rd-old belair rd,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,232,1999-09-04,27.35,6531,15.075792374827746,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Andos-BP-Sheps-BP-Andos,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,167,1999-09-06,53,8267,23.079714527640014,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lofty Summit-Belair NP-Eastwood,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,132,1999-09-07,73.63,9600,27.61125,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Greenhill-Glenelg-Seacliff-small hills,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,231,1999-09-08,27.36,3673,26.81622651783283,NA,1,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Flinders and Return,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,221,1999-09-15,33.83,4640,26.247413793103444,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit.,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,196,1999-09-19,42.92,5487,28.15965008201203,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-Seacliff-Belair-Old Belair Rd,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,220,1999-09-20,35,5100,24.705882352941174,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Greenhill Rd,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,175,1999-09-23,51.45,7141,25.93754376137796,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lofty Summit-Belair NP-Eastwood,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,94,1999-09-25,101.82,14733,24.87965791081246,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Montacute-Coach Rd-half way up Norton Summit (bonk)-Eastwood (eat)-Glenelg-Seacliff-Belair-Old Belair Rd,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,160,1999-09-26,56.73,14339,14.242834228328334,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Carrick Hill-Andos-Lynton-Sheps-Blackwood-Sheps-Lynton-Andos,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,112,1999-09-27,81.24,10430,28.04065196548418,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Montacute Rd-Golden Grove-Home via Dequeteville,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,204,1999-09-28,40.3,5371,27.011729659281322,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-seacliff-glenelg,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,157,1999-09-30,58.99,8115,26.169316081330866,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-down-Belair-Old Belair Rd,1999,9,Sep 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,205,1999-10-03,40,12600,11.428571428571429,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,"Bundaleer Race.  Sports, came 1st.",1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,170,1999-10-04,52.15,6843,27.43533537921964,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-Seacliff-Kensington (Mark and Emmas),1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,118,1999-10-05,77.81,10625,26.363858823529412,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Glenelg-Seacliff-Belair Rd-Old Belair Rd,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,181,1999-10-07,48,7200,24,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Montacute Rd-Eastwood (crash),1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,199,1999-10-10,42.37,5370,28.404469273743015,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Waterfall Gully,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,96,1999-10-14,99.6,14525,24.685714285714283,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Marks house via Belair-Montacute-down Greenhill-up Old Belair-down Belair,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,153,1999-10-16,62.16,9432,23.725190839694655,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Marks House via Belair Rd-Towards Clarendon-Loftia-Mt Lofty-Greenhill,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,242,1999-10-17,20,6600,10.90909090909091,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Fox Creek,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,116,1999-10-19,80.16,11236,25.68316126735493,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Hills: Montacute-Norton Summit-Old Belair Rd-Blythewood,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,188,1999-10-21,46.5,6341,26.399621510802714,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Montacute-down Greenhill (rain so piked),1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,102,1999-10-23,92.81,11439,29.208497246262784,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lobethal-Gumeracha-Gorge Rd- Home via small hills,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,193,1999-10-24,44.43,10218,15.653552554315914,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Sheps-Blackwood (few loops)-Sth Watiparinga-Lynton Dump-Andos,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,195,1999-10-26,43,7200,21.5,NA,0,NA,NA,NA,NA,NA,tourer,South Australia,Australia,NA,KI Wetland Survey,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,209,1999-10-28,38.87,6225,22.47903614457831,NA,0,NA,NA,NA,NA,NA,tourer,South Australia,Australia,NA,KI Wetland Survey,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,228,1999-10-31,28.24,7126,14.266629245018242,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Fox Creek Race.  Broke chain.  9th in Sports.,1999,10,Oct 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,156,1999-11-01,59.73,9067,23.715451637807433,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Eastwood-Clapham-Eastwood-Norton Summit-Lofty Summit- down Greenhill,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,236,1999-11-03,25,6300,14.285714285714286,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Martine's 1st ride with us.  Ando's-Lynton-BP-Ando's,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,95,1999-11-07,100,18000,20,NA,0,NA,NA,NA,NA,NA,tourer,South Australia,Australia,NA,Bike SA ride at Mt Pleasant,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,219,1999-11-10,36.59,9228,14.274382314694408,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,"Martine's 2nd ride.  Andos, Lynton, Sheps, BP, Pony Track",1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,155,1999-11-11,61.07,9518,23.0985501155705,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Deviation Rd-Stirling-Belair NP-Eastwood,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,92,1999-11-13,103.75,13977,26.722472633612366,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lobethal-Balhanah-Greenhill Rd-Lofty Summit-Belair NP-Sheps Hill Rd-home via small hills,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,202,1999-11-14,41.23,5380,27.58884758364312,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lofty Summit-Greenhill Rd,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,139,1999-11-16,71.47,11012,23.364693062114057,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Montacute-Down & up Norton Summit-Lofty Summit-Belair NP-Eastwood,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,226,1999-11-17,29.52,7891,13.46749461411735,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Andos-BP-Sheps-Lynton-bottom of Andos,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,146,1999-11-18,68.54,9630,25.62242990654206,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summmit-Deviation Rd-Swamp Rd to Crafers-Belair NP-New Belair Rd-Blythewood-Eastwood,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,121,1999-11-20,76,10800,25.333333333333332,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Belair-Humpty Hill-Loftia Park-Longwood Rd and via Wamersley's to Mylor-Aldgate Valley Rd-Sturt Valley Rd-Belair NP-Belair-Eastwood,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,197,1999-11-21,42.78,9371,16.434532067015258,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Andos-BP-Marks-Blackwood loops-single track to Sturt Gorge RP and return,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,162,1999-11-23,56.03,10501,19.20845633749167,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Night Race at Flinders Uni.  A: came 4th.  Flinders onroad- race- Sheps hill- Belair- Andos.,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,222,1999-11-24,33.83,5396,22.5700518902891,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Greenhill,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,218,1999-11-30,36.63,4637,28.43821436273453,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Seacliff-Glenelg,1999,11,Nov 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,229,1999-12-01,28.24,7096,14.32694475760992,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Chambers-Wine Shanty,1999,12,Dec 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,113,1999-12-02,81.24,10430,28.04065196548418,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glynburn Rd-Regency Rd-Outer Harbour-Beach-Anzac Hwy-Cross Rd,1999,12,Dec 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,87,1999-12-05,120.03,14197,30.43657110657181,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Goolwa-Victor-Yankallila-Myponga-Victor-Goolwa,1999,12,Dec 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,137,1999-12-07,71.69,9099,28.363996043521265,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Glenelg-Seacliff-Goodwood Rd-Cross Rd-Eastwood,1999,12,Dec 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,203,1999-12-08,41.18,9458,15.674349756819623,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,Sheps-Sturt Gorge RP-Blackwood-Sheps,1999,12,Dec 1999,1995,"South Australia, Australia",NA,NA,NA,NA
